127.0.0.1 - - [24/Mar/2022:20:56:02 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:56:04 -0300] "GET /basic-webapp/Carro HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:08 -0300] "GET /basic-webapp/Carro HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:10 -0300] "GET /basic-webapp/Carro HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:10 -0300] "GET /basic-webapp/Carro HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:12 -0300] "GET /basic-webapp/Carro/Marca=vw%20&&%20Modelo=jij%20&&%20Ano=%202002 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:14 -0300] "GET /basic-webapp/Carro/Marca=vw%20&&%20Modelo=jij%20&&%20Ano=%202002 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:15 -0300] "GET /basic-webapp/Carro/Marca=vw%20&&%20Modelo=jij%20&&%20Ano=%202002 HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:33 -0300] "GET /basic-webapp/Carro/Marca=vw HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:34 -0300] "GET /basic-webapp/Carro/Marca=vw HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:35 -0300] "GET /basic-webapp/Carro/Marca=vw HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:35 -0300] "GET /basic-webapp/Carro/Marca=vw HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Mar/2022:20:57:35 -0300] "GET /basic-webapp/Carro/Marca=vw HTTP/1.1" 404 798
